year,player,portrait_filename
1993,Chris Webber,chris_webber.webp
1993,Shawn Bradley,shawn_bradley.webp
1993,Anfernee Hardaway,anfernee_hardaway.webp
1993,Jamal Mashburn,jamal_mashburn.webp
1993,Isaiah Rider,isaiah_rider.webp
1993,Calbert Cheaney,calbert_cheaney.webp
1993,Bobby Hurley,bobby_hurley.webp
1993,Vin Baker,vin_baker.webp
1993,Rodney Rogers,rodney_rogers.webp
1993,Lindsey Hunter,lindsey_hunter.webp
1993,Allan Houston,allan_houston.webp
1993,Sam Cassell,sam_cassell.webp
1993,Nick Van Exel,nick_van_exel.webp
1993,Bruce Bowen,bruce_bowen.webp
1994,Glenn Robinson,glenn_robinson.webp
1994,Jason Kidd,jason_kidd.webp
1994,Grant Hill,grant_hill.webp
1994,Donyell Marshall,donyell_marshall.webp
1994,Juwan Howard,juwan_howard.webp
1994,Eddie Jones,eddie_jones.webp
1994,Brian Grant,brian_grant.webp
1994,Jalen Rose,jalen_rose.webp
1994,Aaron McKie,aaron_mckie.webp
1994,Wesley Person,wesley_person.webp
1995,Joe Smith,joe_smith.webp
1995,Antonio McDyess,antonio_mcdyess.webp
1995,Jerry Stackhouse,jerry_stackhouse.webp
1995,Rasheed Wallace,rasheed_wallace.webp
1995,Kevin Garnett,kevin_garnett.webp
1995,Bryant Reeves,bryant_reeves.webp
1995,Damon Stoudamire,damon_stoudamire.webp
1995,Kurt Thomas,kurt_thomas.webp
1995,Michael Finley,michael_finley.webp
1995,Brent Barry,brent_barry.webp
1995,Theo Ratliff,theo_ratliff.webp
1995,Eric Snow,eric_snow.webp
1996,Allen Iverson,allen_iverson.webp
1996,Marcus Camby,marcus_camby.webp
1996,Shareef Abdur-Rahim,shareef_abdur_rahim.webp
1996,Stephon Marbury,stephon_marbury.webp
1996,Ray Allen,ray_allen.webp
1996,Antoine Walker,antoine_walker.webp
1996,Kobe Bryant,kobe_bryant.webp
1996,Peja Stojakovic,peja_stojakovic.webp
1996,Steve Nash,steve_nash.webp
1996,Jermaine O'Neal,jermaine_oneal.webp
1996,Derek Fisher,derek_fisher.webp
1996,Ben Wallace,ben_wallace.webp
1997,Tim Duncan,tim_duncan.webp
1997,Keith Van Horn,keith_van_horn.webp
1997,Chauncey Billups,chauncey_billups.webp
1997,Antonio Daniels,antonio_daniels.webp
1997,Tony Battie,tony_battie.webp
1997,Ron Mercer,ron_mercer.webp
1997,Tim Thomas,tim_thomas.webp
1997,Tracy McGrady,tracy_mcgrady.webp
1997,Danny Fortson,danny_fortson.webp
1997,Derek Anderson,derek_anderson.webp
1997,Stephen Jackson,stephen_jackson.webp
1998,Michael Olowokandi,michael_olowokandi.webp
1998,Mike Bibby,mike_bibby.webp
1998,Raef LaFrentz,raef_lafrentz.webp
1998,Antawn Jamison,antawn_jamison.webp
1998,Vince Carter,vince_carter.webp
1998,Dirk Nowitzki,dirk_nowitzki.webp
1998,Paul Pierce,paul_pierce.webp
1998,Al Harrington,al_harrington.webp
1998,Rashard Lewis,rashard_lewis.webp
1998,Cuttino Mobley,cuttino_mobley.webp
1999,Elton Brand,elton_brand.webp
1999,Steve Francis,steve_francis.webp
1999,Baron Davis,baron_davis.webp
1999,Lamar Odom,lamar_odom.webp
1999,Jonathan Bender,jonathan_bender.webp
1999,Wally Szczerbiak,wally_szczerbiak.webp
1999,Richard Hamilton,richard_hamilton.webp
1999,Andre Miller,andre_miller.webp
1999,Shawn Marion,shawn_marion.webp
1999,Jason Terry,jason_terry.webp
1999,Ron Artest,ron_artest.webp
1999,Manu Ginobili,manu_ginobili.webp
2000,Kenyon Martin,kenyon_martin.webp
2000,Stromile Swift,stromile_swift.webp
2000,Darius Miles,darius_miles.webp
2000,Marcus Fizer,marcus_fizer.webp
2000,Mike Miller,mike_miller.webp
2000,Jamal Crawford,jamal_crawford.webp
2000,Hedo Turkoglu,hedo_turkoglu.webp
2000,Desmond Mason,desmond_mason.webp
2000,Quentin Richardson,quentin_richardson.webp
2000,Jamaal Magloire,jamaal_magloire.webp
2000,Michael Redd,michael_redd.webp
