draft_year,player,result
1985,Patrick Ewing,already present
1985,Wayman Tisdale,already present
1985,Benoit Benjamin,already present
1985,Xavier McDaniel,already present
1985,Chris Mullin,already present
1985,Detlef Schrempf,already present
1985,Charles Oakley,already present
1985,Karl Malone,already present
1985,Joe Dumars,already present
1985,A.C. Green,already present
1985,Terry Porter,added by audit
1985,Spud Webb,added by audit
1986,Brad Daugherty,already present
1986,Len Bias,already present
1986,Chris Washburn,already present
1986,Chuck Person,already present
1986,Kenny Walker,already present
1986,Johnny Dawkins,already present
1986,Roy Tarpley,already present
1986,Ron Harper,already present
1986,John Salley,already present
1986,Dell Curry,already present
1986,Mark Price,added by audit
1986,Dennis Rodman,added by audit
1986,Jeff Hornacek,added by audit
1986,Arvydas Sabonis,already present
1987,David Robinson,added by audit
1987,Armon Gilliam,added by audit
1987,Dennis Hopson,added by audit
1987,Reggie Williams,added by audit
1987,Scottie Pippen,added by audit
1987,Kenny Smith,added by audit
1987,Kevin Johnson,added by audit
1987,Olden Polynice,added by audit
1987,Horace Grant,added by audit
1987,Reggie Miller,added by audit
1987,Mark Jackson,added by audit
1987,Reggie Lewis,added by audit
1988,Danny Manning,added by audit
1988,Rik Smits,added by audit
1988,Charles Smith,added by audit
1988,Chris Morris,added by audit
1988,Mitch Richmond,added by audit
1988,Hersey Hawkins,added by audit
1988,Rex Chapman,added by audit
1988,Rony Seikaly,added by audit
1988,Dan Majerle,added by audit
1988,Rod Strickland,added by audit
1988,Anthony Mason,added by audit
1988,Steve Kerr,added by audit
1989,Pervis Ellison,already present
1989,Danny Ferry,already present
1989,Sean Elliott,already present
1989,Glen Rice,already present
1989,J.R. Reid,already present
1989,Stacey King,already present
1989,George McCloud,already present
1989,Randy White,already present
1989,Tom Hammonds,already present
1989,Pooh Richardson,already present
1989,Mookie Blaylock,already present
1989,Tim Hardaway,already present
1989,Dana Barros,added by audit
1989,Shawn Kemp,already present
1989,Vlade Divac,added by audit
1989,B.J. Armstrong,added by audit
1989,Clifford Robinson,added by audit
1990,Derrick Coleman,added by audit
1990,Gary Payton,added by audit
1990,Chris Jackson,added by audit
1990,Dennis Scott,added by audit
1990,Kendall Gill,added by audit
1990,Felton Spencer,added by audit
1990,Lionel Simmons,added by audit
1990,Bo Kimble,added by audit
1990,Willie Burton,added by audit
1990,Rumeal Robinson,added by audit
1990,Tyrone Hill,added by audit
1990,Jayson Williams,added by audit
1990,Antonio Davis,added by audit
1990,Cedric Ceballos,added by audit
1990,Toni Kukoc,added by audit
1991,Larry Johnson,added by audit
1991,Kenny Anderson,added by audit
1991,Billy Owens,added by audit
1991,Dikembe Mutombo,added by audit
1991,Steve Smith,added by audit
1991,Doug Smith,added by audit
1991,Luc Longley,added by audit
1991,Terrell Brandon,added by audit
1991,Dale Davis,added by audit
1991,Chris Gatling,added by audit
1991,Rick Fox,added by audit
1991,Bobby Phills,added by audit
1992,Shaquille O'Neal,added by audit
1992,Alonzo Mourning,added by audit
1992,Christian Laettner,added by audit
1992,Jim Jackson,added by audit
1992,LaPhonso Ellis,added by audit
1992,Tom Gugliotta,added by audit
1992,Walt Williams,added by audit
1992,Clarence Weatherspoon,added by audit
1992,Robert Horry,added by audit
1992,Latrell Sprewell,added by audit
1992,P.J. Brown,added by audit
