draft_year,player,result
1993,Chris Webber,added by audit
1993,Shawn Bradley,added by audit
1993,Anfernee Hardaway,added by audit
1993,Jamal Mashburn,added by audit
1993,Isaiah Rider,added by audit
1993,Calbert Cheaney,added by audit
1993,Bobby Hurley,added by audit
1993,Vin Baker,added by audit
1993,Rodney Rogers,added by audit
1993,Lindsey Hunter,added by audit
1993,Allan Houston,added by audit
1993,Sam Cassell,added by audit
1993,Nick Van Exel,added by audit
1993,Bruce Bowen,added by audit
1994,Glenn Robinson,added by audit
1994,Jason Kidd,added by audit
1994,Grant Hill,added by audit
1994,Donyell Marshall,added by audit
1994,Juwan Howard,added by audit
1994,Eddie Jones,added by audit
1994,Brian Grant,added by audit
1994,Jalen Rose,added by audit
1994,Aaron McKie,added by audit
1994,Wesley Person,added by audit
1995,Joe Smith,added by audit
1995,Antonio McDyess,added by audit
1995,Jerry Stackhouse,added by audit
1995,Rasheed Wallace,added by audit
1995,Kevin Garnett,added by audit
1995,Bryant Reeves,added by audit
1995,Damon Stoudamire,added by audit
1995,Kurt Thomas,added by audit
1995,Michael Finley,added by audit
1995,Brent Barry,added by audit
1995,Theo Ratliff,added by audit
1995,Eric Snow,added by audit
1996,Allen Iverson,added by audit
1996,Marcus Camby,added by audit
1996,Shareef Abdur-Rahim,added by audit
1996,Stephon Marbury,added by audit
1996,Ray Allen,added by audit
1996,Antoine Walker,added by audit
1996,Kobe Bryant,added by audit
1996,Peja Stojakovic,added by audit
1996,Steve Nash,added by audit
1996,Jermaine O'Neal,added by audit
1996,Derek Fisher,added by audit
1996,Ben Wallace,added by audit
1997,Tim Duncan,added by audit
1997,Keith Van Horn,added by audit
1997,Chauncey Billups,added by audit
1997,Antonio Daniels,added by audit
1997,Tony Battie,added by audit
1997,Ron Mercer,added by audit
1997,Tim Thomas,added by audit
1997,Tracy McGrady,added by audit
1997,Danny Fortson,added by audit
1997,Derek Anderson,added by audit
1997,Stephen Jackson,added by audit
1998,Michael Olowokandi,added by audit
1998,Mike Bibby,added by audit
1998,Raef LaFrentz,added by audit
1998,Antawn Jamison,added by audit
1998,Vince Carter,added by audit
1998,Dirk Nowitzki,added by audit
1998,Paul Pierce,added by audit
1998,Al Harrington,added by audit
1998,Rashard Lewis,added by audit
1998,Cuttino Mobley,added by audit
1999,Elton Brand,added by audit
1999,Steve Francis,added by audit
1999,Baron Davis,added by audit
1999,Lamar Odom,added by audit
1999,Jonathan Bender,added by audit
1999,Wally Szczerbiak,added by audit
1999,Richard Hamilton,added by audit
1999,Andre Miller,added by audit
1999,Shawn Marion,added by audit
1999,Jason Terry,added by audit
1999,Ron Artest,added by audit
1999,Manu Ginobili,added by audit
2000,Kenyon Martin,added by audit
2000,Stromile Swift,added by audit
2000,Darius Miles,added by audit
2000,Marcus Fizer,added by audit
2000,Mike Miller,added by audit
2000,Jamal Crawford,added by audit
2000,Hedo Turkoglu,added by audit
2000,Desmond Mason,added by audit
2000,Quentin Richardson,added by audit
2000,Jamaal Magloire,added by audit
2000,Michael Redd,added by audit
