year,player,portrait_filename
2017,Markelle Fultz,markelle_fultz.webp
2017,Lonzo Ball,lonzo_ball.webp
2017,Jayson Tatum,jayson_tatum.webp
2017,Josh Jackson,josh_jackson.webp
2017,De'Aaron Fox,deaaron_fox.webp
2017,Jonathan Isaac,jonathan_isaac.webp
2017,Lauri Markkanen,lauri_markkanen.webp
2017,Donovan Mitchell,donovan_mitchell.webp
2017,Bam Adebayo,bam_adebayo.webp
2017,John Collins,john_collins.webp
2017,Jarrett Allen,jarrett_allen.webp
2017,OG Anunoby,og_anunoby.webp
2017,Kyle Kuzma,kyle_kuzma.webp
2017,Derrick White,derrick_white.webp
2017,Josh Hart,josh_hart.webp
2018,Deandre Ayton,deandre_ayton.webp
2018,Marvin Bagley III,marvin_bagley_iii.webp
2018,Luka Doncic,luka_doncic.webp
2018,Jaren Jackson Jr.,jaren_jackson_jr.webp
2018,Trae Young,trae_young.webp
2018,Wendell Carter Jr.,wendell_carter_jr.webp
2018,Collin Sexton,collin_sexton.webp
2018,Mikal Bridges,mikal_bridges.webp
2018,Shai Gilgeous-Alexander,shai_gilgeous_alexander.webp
2018,Miles Bridges,miles_bridges.webp
2018,Michael Porter Jr.,michael_porter_jr.webp
2018,Donte DiVincenzo,donte_divincenzo.webp
2018,Robert Williams III,robert_williams_iii.webp
2018,Jalen Brunson,jalen_brunson.webp
2018,Mitchell Robinson,mitchell_robinson.webp
2018,Gary Trent Jr.,gary_trent_jr.webp
2019,Zion Williamson,zion_williamson.webp
2019,Ja Morant,ja_morant.webp
2019,RJ Barrett,rj_barrett.webp
2019,De'Andre Hunter,deandre_hunter.webp
2019,Darius Garland,darius_garland.webp
2019,Coby White,coby_white.webp
2019,Rui Hachimura,rui_hachimura.webp
2019,Cam Reddish,cam_reddish.webp
2019,Cameron Johnson,cameron_johnson.webp
2019,Tyler Herro,tyler_herro.webp
2019,Jordan Poole,jordan_poole.webp
2019,Keldon Johnson,keldon_johnson.webp
2019,Kevin Porter Jr.,kevin_porter_jr.webp
2019,Nic Claxton,nic_claxton.webp
2020,Anthony Edwards,anthony_edwards.webp
2020,James Wiseman,james_wiseman.webp
2020,LaMelo Ball,lamelo_ball.webp
2020,Patrick Williams,patrick_williams.webp
2020,Isaac Okoro,isaac_okoro.webp
