year,player,portrait_filename
1947,"Clifton McNeely",clifton_mcneely.webp
1947,"Glen Selbo",glen_selbo.webp
1947,"Bulbs Ehlers",bulbs_ehlers.webp
1947,"Walt Dropo",walt_dropo.webp
1947,"Dick Holub",dick_holub.webp
1947,"Chink Crossin",chink_crossin.webp
1947,"Jack Underman",jack_underman.webp
1947,"Paul Huston",paul_huston.webp
1947,"Dick O'Keefe",dick_okeefe.webp
1947,"Larry Killick",larry_killick.webp
1947,"Harry Gallatin",harry_gallatin.webp
1947,"Andy Phillip",andy_phillip.webp
1947,"Jim Pollard",jim_pollard.webp
1947,"Red Rocha",red_rocha.webp
1947,"Wat Misaka",wat_misaka.webp
1947,"Paul Hoffman",paul_hoffman.webp
1948,"Andy Tonkovich",andy_tonkovich.webp
1948,"George Kok",george_kok.webp
1948,"George Hauptfuhrer",george_hauptfuhrer.webp
1948,"Dolph Schayes",dolph_schayes.webp
1948,"Ed Mikan",ed_mikan.webp
1948,"Walt Budko",walt_budko.webp
1948,"Bob Gale",bob_gale.webp
1948,"Ward Williams",ward_williams.webp
1948,"Chuck Hanger",chuck_hanger.webp
1948,"Bobby Wanzer",bobby_wanzer.webp
1948,"Don Ray",don_ray.webp
1948,"Jack Nichols",jack_nichols.webp
1948,"Harry Gallatin",harry_gallatin.webp
1948,"Alex Hannum",alex_hannum.webp
1948,"Ray Lumpp",ray_lumpp.webp
1948,"Murray Wier",murray_wier.webp
1948,"Leo Kubiak",leo_kubiak.webp
1948,"Bill Gabor",bill_gabor.webp
1949,"Ed Macauley",ed_macauley.webp
1949,"Vern Mikkelsen",vern_mikkelsen.webp
1949,"Howie Shannon",howie_shannon.webp
1949,"Alex Groza",alex_groza.webp
1949,"Bob Harris",bob_harris.webp
1949,"Tony Lavelli",tony_lavelli.webp
1949,"Vern Gardner",vern_gardner.webp
1949,"Ron Livingstone",ron_livingstone.webp
1949,"Dick McGuire",dick_mcguire.webp
1949,"Wah Wah Jones",wah_wah_jones.webp
1949,"Jack Kerris",jack_kerris.webp
1949,"Frank Saul",frank_saul.webp
1949,"Leo Barnhorst",leo_barnhorst.webp
1949,"Ralph Beard",ralph_beard.webp
1949,"Jack Coleman",jack_coleman.webp
1949,"George Kaftan",george_kaftan.webp
1949,"Fred Schaus",fred_schaus.webp
1949,"Dike Eddleman",dike_eddleman.webp
1949,"Bob Harrison",bob_harrison.webp
1949,"Paul Walther",paul_walther.webp
1949,"Ernie Vandeweghe",ernie_vandeweghe.webp
1950,"Paul Arizin",paul_arizin.webp
1950,"Chuck Share",chuck_share.webp
1950,"Don Rehfeldt",don_rehfeldt.webp
1950,"Bob Cousy",bob_cousy.webp
1950,"Dick Schnittker",dick_schnittker.webp
1950,"Larry Foust",larry_foust.webp
1950,"Irwin Dambrot",irwin_dambrot.webp
1950,"George Yardley",george_yardley.webp
1950,"Bob Lavoy",bob_lavoy.webp
1950,"Joe McNamee",joe_mcnamee.webp
1950,"Kevin O'Shea",kevin_oshea.webp
1950,"Don Lofgran",don_lofgran.webp
1950,"Chuck Cooper",chuck_cooper.webp
1950,"Bill Sharman",bill_sharman.webp
1950,"Earl Lloyd",earl_lloyd.webp
1950,"Bob Donham",bob_donham.webp
1950,"Wally Osterkorn",wally_osterkorn.webp
1950,"George Stanich",george_stanich.webp
1951,"Gene Melchiorre",gene_melchiorre.webp
1951,"Mel Hutchins",mel_hutchins.webp
1951,"Marcus Freiberger",marcus_freiberger.webp
1951,"Zeke Sinicola",zeke_sinicola.webp
1951,"John McConathy",john_mcconathy.webp
1951,"Ed Smith",ed_smith.webp
1951,"Ernie Barrett",ernie_barrett.webp
1951,"Sam Ranzino",sam_ranzino.webp
1951,"Don Sunderlage",don_sunderlage.webp
1951,"Whitey Skoog",whitey_skoog.webp
1951,"Jack Stone",jack_stone.webp
1951,"Bill Gossett",bill_gossett.webp
1951,"Scotty Steagall",scotty_steagall.webp
