year,player,portrait_filename
1955,"Dick Garmaker",dick_garmaker.webp
1955,"Tom Gola",tom_gola.webp
1955,"Dick Ricketts",dick_ricketts.webp
1955,"Maurice Stokes",maurice_stokes.webp
1955,"Jim Loscutoff",jim_loscutoff.webp
1955,"Jack Stephens",jack_stephens.webp
1955,"Ed Conlin",ed_conlin.webp
1955,"Jesse Arnelle",jesse_arnelle.webp
1955,"John Horan",john_horan.webp
1955,"Jim King",jim_king.webp
1955,"K.C. Jones",k_c_jones.webp
1955,"Johnny Horan",johnny_horan.webp
1955,"Jack Twyman",jack_twyman.webp
1955,"Si Green",si_green.webp
1955,"Willie Naulls",willie_naulls.webp
1956,"Tom Heinsohn",tom_heinsohn.webp
1956,"Si Green",si_green.webp
1956,"Bill Russell",bill_russell.webp
1956,"Jim Paxson Sr.",jim_paxson_sr.webp
1956,"Willie Naulls",willie_naulls.webp
1956,"Ron Sobie",ron_sobie.webp
1956,"Hal Lear",hal_lear.webp
1956,"Bob Burrow",bob_burrow.webp
1956,"K.C. Jones",k_c_jones.webp
1956,"Sam Jones",sam_jones.webp
1956,"John McCarthy",john_mccarthy.webp
1956,"Woody Sauldsberry",woody_sauldsberry.webp
1957,"Hot Rod Hundley",hot_rod_hundley.webp
1957,"Charlie Tyra",charlie_tyra.webp
1957,"Jim Krebs",jim_krebs.webp
1957,"Win Wilfong",win_wilfong.webp
1957,"Jim Palmer",jim_palmer.webp
1957,"Sam Jones",sam_jones.webp
1957,"Woody Sauldsberry",woody_sauldsberry.webp
1957,"Johnny Green",johnny_green.webp
1957,"John McCarthy",john_mccarthy.webp
1957,"George Bon Salle",george_bon_salle.webp
1958,"Elgin Baylor",elgin_baylor.webp
1958,"Archie Dees",archie_dees.webp
1958,"Mike Farmer",mike_farmer.webp
1958,"Guy Rodgers",guy_rodgers.webp
1958,"Wayne Embry",wayne_embry.webp
1958,"Adrian Smith",adrian_smith.webp
1958,"Don Ohl",don_ohl.webp
1958,"Hal Greer",hal_greer.webp
1958,"Tom Hawkins",tom_hawkins.webp
1958,"Dave Gambee",dave_gambee.webp
1958,"Vern Hatton",vern_hatton.webp
1958,"Shellie McMillon",shellie_mcmillon.webp
1959,"Wilt Chamberlain",wilt_chamberlain.webp
1959,"Bob Ferry",bob_ferry.webp
1959,"Bob Boozer",bob_boozer.webp
1959,"Bailey Howell",bailey_howell.webp
1959,"Dick Barnett",dick_barnett.webp
1959,"Rudy LaRusso",rudy_larusso.webp
1959,"Johnny Green",johnny_green.webp
1959,"Dave Budd",dave_budd.webp
1959,"Johnny Cox",johnny_cox.webp
1959,"Frank Howard",frank_howard.webp
1959,"Willie Merriweather",willie_merriweather.webp
1959,"John Richter",john_richter.webp
1960,"Oscar Robertson",oscar_robertson.webp
1960,"Jerry West",jerry_west.webp
1960,"Darrall Imhoff",darrall_imhoff.webp
1960,"Jackie Moreland",jackie_moreland.webp
1960,"Lee Shaffer",lee_shaffer.webp
1960,"Lenny Wilkens",lenny_wilkens.webp
1960,"Al Butler",al_butler.webp
1960,"Tom Sanders",tom_sanders.webp
1960,"Gene Wiley",gene_wiley.webp
1960,"Al Attles",al_attles.webp
1960,"Jim Darrow",jim_darrow.webp
1960,"Wayne Yates",wayne_yates.webp
1961,"Walt Bellamy",walt_bellamy.webp
1961,"Tom Stith",tom_stith.webp
1961,"Larry Siegfried",larry_siegfried.webp
1961,"Tom Meschery",tom_meschery.webp
1961,"Don Kojis",don_kojis.webp
1961,"Ray Scott",ray_scott.webp
1961,"Cleo Hill",cleo_hill.webp
1961,"York Larese",york_larese.webp
1961,"Bob Wiesenhahn",bob_wiesenhahn.webp
1961,"Bill Bridges",bill_bridges.webp
1961,"Doug Moe",doug_moe.webp
1961,"Al Bunge",al_bunge.webp
1962,"Dave DeBusschere",dave_debusschere.webp
1962,"Jerry Lucas",jerry_lucas.webp
1962,"Billy McGill",billy_mcgill.webp
1962,"Zelmo Beaty",zelmo_beaty.webp
1962,"Len Chappell",len_chappell.webp
1962,"John Havlicek",john_havlicek.webp
1962,"Chet Walker",chet_walker.webp
1962,"Terry Dischinger",terry_dischinger.webp
1962,"Kevin Loughery",kevin_loughery.webp
1962,"Hub Reed",hub_reed.webp
1962,"John Egan",john_egan.webp
1962,"Don Nelson",don_nelson.webp
1962,"Wayne Hightower",wayne_hightower.webp
1962,"Gary Phillips",gary_phillips.webp
1962,"Jack Foley",jack_foley.webp
