year,player,portrait_filename
1977,Kent Benson,kent_benson.webp
1977,Otis Birdsong,otis_birdsong.webp
1977,Marques Johnson,marques_johnson.webp
1977,Bernard King,bernard_king.webp
1977,Jack Sikma,jack_sikma.webp
1977,Norm Nixon,norm_nixon.webp
1977,Walter Davis,walter_davis.webp
1977,Cedric Maxwell,cedric_maxwell.webp
1977,Rickey Green,rickey_green.webp
1977,Eddie Johnson,eddie_johnson.webp
1978,Mychal Thompson,mychal_thompson.webp
1978,Phil Ford,phil_ford.webp
1978,Rick Robey,rick_robey.webp
1978,Micheal Ray Richardson,micheal_ray_richardson.webp
1978,Reggie Theus,reggie_theus.webp
1978,Larry Bird,larry_bird.webp
1978,Maurice Cheeks,maurice_cheeks.webp
1978,Mike Mitchell,mike_mitchell.webp
1978,Purvis Short,purvis_short.webp
1979,Magic Johnson,magic_johnson.webp
1979,David Greenwood,david_greenwood.webp
1979,Bill Cartwright,bill_cartwright.webp
1979,Greg Kelser,greg_kelser.webp
1979,Sidney Moncrief,sidney_moncrief.webp
1979,Jim Paxson,jim_paxson.webp
1979,Bill Laimbeer,bill_laimbeer.webp
1979,Calvin Natt,calvin_natt.webp
1979,James Donaldson,james_donaldson.webp
1980,Joe Barry Carroll,joe_barry_carroll.webp
1980,Darrell Griffith,darrell_griffith.webp
1980,Kevin McHale,kevin_mchale.webp
1980,Mike Gminski,mike_gminski.webp
1980,Kiki Vandeweghe,kiki_vandeweghe.webp
1980,Andrew Toney,andrew_toney.webp
1980,Jeff Ruland,jeff_ruland.webp
1980,Rick Mahorn,rick_mahorn.webp
1981,Mark Aguirre,mark_aguirre.webp
1981,Isiah Thomas,isiah_thomas.webp
1981,Buck Williams,buck_williams.webp
1981,Al Wood,al_wood.webp
1981,Danny Vranes,danny_vranes.webp
1981,Orlando Woolridge,orlando_woolridge.webp
1981,Steve Johnson,steve_johnson.webp
1981,Tom Chambers,tom_chambers.webp
1981,Rolando Blackman,rolando_blackman.webp
1981,Kelly Tripucka,kelly_tripucka.webp
1981,Larry Nance,larry_nance.webp
1981,Danny Ainge,danny_ainge.webp
1982,James Worthy,james_worthy.webp
1982,Terry Cummings,terry_cummings.webp
1982,Dominique Wilkins,dominique_wilkins.webp
1982,Bill Garnett,bill_garnett.webp
1982,Fat Lever,fat_lever.webp
1982,Sleepy Floyd,sleepy_floyd.webp
1982,Ricky Pierce,ricky_pierce.webp
1982,Mark Eaton,mark_eaton.webp
1983,Ralph Sampson,ralph_sampson.webp
1983,Steve Stipanovich,steve_stipanovich.webp
1983,Rodney McCray,rodney_mccray.webp
1983,Byron Scott,byron_scott.webp
1983,Sidney Green,sidney_green.webp
1983,Dale Ellis,dale_ellis.webp
1983,Derek Harper,derek_harper.webp
1983,Clyde Drexler,clyde_drexler.webp
1983,Doc Rivers,doc_rivers.webp
1983,Jeff Malone,jeff_malone.webp
1984,Hakeem Olajuwon,hakeem_olajuwon.webp
1984,Sam Bowie,sam_bowie.webp
1984,Michael Jordan,michael_jordan.webp
1984,Sam Perkins,sam_perkins.webp
1984,Charles Barkley,charles_barkley.webp
1984,Alvin Robertson,alvin_robertson.webp
1984,Otis Thorpe,otis_thorpe.webp
1984,Kevin Willis,kevin_willis.webp
1984,John Stockton,john_stockton.webp
1984,Jerome Kersey,jerome_kersey.webp
