year,player,portrait_filename
1985,Patrick Ewing,patrick_ewing.webp
1985,Wayman Tisdale,wayman_tisdale.webp
1985,Benoit Benjamin,benoit_benjamin.webp
1985,Xavier McDaniel,xavier_mcdaniel.webp
1985,Chris Mullin,chris_mullin.webp
1985,Detlef Schrempf,detlef_schrempf.webp
1985,Charles Oakley,charles_oakley.webp
1985,Karl Malone,karl_malone.webp
1985,Joe Dumars,joe_dumars.webp
1985,A.C. Green,a_c_green.webp
1985,Terry Porter,terry_porter.webp
1985,Spud Webb,spud_webb.webp
1986,Brad Daugherty,brad_daugherty.webp
1986,Len Bias,len_bias.webp
1986,Chris Washburn,chris_washburn.webp
1986,Chuck Person,chuck_person.webp
1986,Kenny Walker,kenny_walker.webp
1986,Johnny Dawkins,johnny_dawkins.webp
1986,Roy Tarpley,roy_tarpley.webp
1986,Ron Harper,ron_harper.webp
1986,John Salley,john_salley.webp
1986,Dell Curry,dell_curry.webp
1986,Mark Price,mark_price.webp
1986,Dennis Rodman,dennis_rodman.webp
1986,Jeff Hornacek,jeff_hornacek.webp
1986,Arvydas Sabonis,arvydas_sabonis.webp
1987,David Robinson,david_robinson.webp
1987,Armon Gilliam,armon_gilliam.webp
1987,Dennis Hopson,dennis_hopson.webp
1987,Reggie Williams,reggie_williams.webp
1987,Scottie Pippen,scottie_pippen.webp
1987,Kenny Smith,kenny_smith.webp
1987,Kevin Johnson,kevin_johnson.webp
1987,Olden Polynice,olden_polynice.webp
1987,Horace Grant,horace_grant.webp
1987,Reggie Miller,reggie_miller.webp
1987,Mark Jackson,mark_jackson.webp
1987,Reggie Lewis,reggie_lewis.webp
1988,Danny Manning,danny_manning.webp
1988,Rik Smits,rik_smits.webp
1988,Charles Smith,charles_smith.webp
1988,Chris Morris,chris_morris.webp
1988,Mitch Richmond,mitch_richmond.webp
1988,Hersey Hawkins,hersey_hawkins.webp
1988,Rex Chapman,rex_chapman.webp
1988,Rony Seikaly,rony_seikaly.webp
1988,Dan Majerle,dan_majerle.webp
1988,Rod Strickland,rod_strickland.webp
1988,Anthony Mason,anthony_mason.webp
1988,Steve Kerr,steve_kerr.webp
1989,Pervis Ellison,pervis_ellison.webp
1989,Danny Ferry,danny_ferry.webp
1989,Sean Elliott,sean_elliott.webp
1989,Glen Rice,glen_rice.webp
1989,J.R. Reid,j_r_reid.webp
1989,Stacey King,stacey_king.webp
1989,George McCloud,george_mccloud.webp
1989,Randy White,randy_white.webp
1989,Tom Hammonds,tom_hammonds.webp
1989,Pooh Richardson,pooh_richardson.webp
1989,Mookie Blaylock,mookie_blaylock.webp
1989,Tim Hardaway,tim_hardaway.webp
1989,Dana Barros,dana_barros.webp
1989,Shawn Kemp,shawn_kemp.webp
1989,Vlade Divac,vlade_divac.webp
1989,B.J. Armstrong,b_j_armstrong.webp
1989,Clifford Robinson,clifford_robinson.webp
1990,Derrick Coleman,derrick_coleman.webp
1990,Gary Payton,gary_payton.webp
1990,Chris Jackson,chris_jackson.webp
1990,Dennis Scott,dennis_scott.webp
1990,Kendall Gill,kendall_gill.webp
1990,Felton Spencer,felton_spencer.webp
1990,Lionel Simmons,lionel_simmons.webp
1990,Bo Kimble,bo_kimble.webp
1990,Willie Burton,willie_burton.webp
1990,Rumeal Robinson,rumeal_robinson.webp
1990,Tyrone Hill,tyrone_hill.webp
1990,Jayson Williams,jayson_williams.webp
1990,Antonio Davis,antonio_davis.webp
1990,Cedric Ceballos,cedric_ceballos.webp
1990,Toni Kukoc,toni_kukoc.webp
1991,Larry Johnson,larry_johnson.webp
1991,Kenny Anderson,kenny_anderson.webp
1991,Billy Owens,billy_owens.webp
1991,Dikembe Mutombo,dikembe_mutombo.webp
1991,Steve Smith,steve_smith.webp
1991,Doug Smith,doug_smith.webp
1991,Luc Longley,luc_longley.webp
1991,Terrell Brandon,terrell_brandon.webp
1991,Dale Davis,dale_davis.webp
1991,Chris Gatling,chris_gatling.webp
1991,Rick Fox,rick_fox.webp
1991,Bobby Phills,bobby_phills.webp
1992,Shaquille O'Neal,shaquille_oneal.webp
1992,Alonzo Mourning,alonzo_mourning.webp
1992,Christian Laettner,christian_laettner.webp
1992,Jim Jackson,jim_jackson.webp
1992,LaPhonso Ellis,laphonso_ellis.webp
1992,Tom Gugliotta,tom_gugliotta.webp
1992,Walt Williams,walt_williams.webp
1992,Clarence Weatherspoon,clarence_weatherspoon.webp
1992,Robert Horry,robert_horry.webp
1992,Latrell Sprewell,latrell_sprewell.webp
1992,P.J. Brown,p_j_brown.webp
