draft_year,player,result
2017,Markelle Fultz,added by audit
2017,Lonzo Ball,added by audit
2017,Jayson Tatum,added by audit
2017,Josh Jackson,added by audit
2017,De'Aaron Fox,added by audit
2017,Jonathan Isaac,added by audit
2017,Lauri Markkanen,added by audit
2017,Donovan Mitchell,added by audit
2017,Bam Adebayo,added by audit
2017,John Collins,added by audit
2017,Jarrett Allen,added by audit
2017,OG Anunoby,added by audit
2017,Kyle Kuzma,added by audit
2017,Derrick White,added by audit
2017,Josh Hart,added by audit
2018,Deandre Ayton,added by audit
2018,Marvin Bagley III,added by audit
2018,Luka Doncic,added by audit
2018,Jaren Jackson Jr.,added by audit
2018,Trae Young,added by audit
2018,Wendell Carter Jr.,added by audit
2018,Collin Sexton,added by audit
2018,Mikal Bridges,added by audit
2018,Shai Gilgeous-Alexander,added by audit
2018,Miles Bridges,added by audit
2018,Michael Porter Jr.,added by audit
2018,Donte DiVincenzo,added by audit
2018,Robert Williams III,added by audit
2018,Jalen Brunson,added by audit
2018,Mitchell Robinson,added by audit
2018,Gary Trent Jr.,added by audit
2019,Zion Williamson,added by audit
2019,Ja Morant,added by audit
2019,RJ Barrett,added by audit
2019,De'Andre Hunter,added by audit
2019,Darius Garland,added by audit
2019,Coby White,added by audit
2019,Rui Hachimura,added by audit
2019,Cam Reddish,added by audit
2019,Cameron Johnson,added by audit
2019,Tyler Herro,added by audit
2019,Jordan Poole,added by audit
2019,Keldon Johnson,added by audit
2019,Kevin Porter Jr.,added by audit
2019,Nic Claxton,added by audit
2020,Anthony Edwards,already present
2020,James Wiseman,already present
2020,LaMelo Ball,already present
2020,Patrick Williams,already present
2020,Isaac Okoro,already present
2020,Onyeka Okongwu,already present
2020,Killian Hayes,already present
2020,Obi Toppin,already present
2020,Deni Avdija,already present
2020,Devin Vassell,already present
2020,Tyrese Haliburton,already present
2020,Cole Anthony,already present
2020,Tyrese Maxey,already present
2020,Desmond Bane,already present
2020,Immanuel Quickley,already present
2021,Cade Cunningham,added by audit
2021,Jalen Green,added by audit
2021,Evan Mobley,added by audit
2021,Scottie Barnes,added by audit
2021,Jalen Suggs,added by audit
2021,Josh Giddey,added by audit
2021,Jonathan Kuminga,added by audit
2021,Franz Wagner,added by audit
2021,Davion Mitchell,added by audit
2021,Alperen Sengun,added by audit
2021,Trey Murphy III,added by audit
2021,Jalen Johnson,added by audit
2021,Cam Thomas,added by audit
2021,Herb Jones,added by audit
2022,Paolo Banchero,added by audit
2022,Chet Holmgren,added by audit
2022,Jabari Smith Jr.,added by audit
2022,Keegan Murray,added by audit
2022,Jaden Ivey,added by audit
2022,Bennedict Mathurin,added by audit
2022,Shaedon Sharpe,added by audit
2022,Dyson Daniels,added by audit
2022,Jeremy Sochan,added by audit
2022,Jalen Williams,added by audit
2022,Jalen Duren,added by audit
2022,Mark Williams,added by audit
2022,Walker Kessler,added by audit
2022,Andrew Nembhard,added by audit
2023,Victor Wembanyama,added by audit
2023,Brandon Miller,added by audit
2023,Scoot Henderson,added by audit
2023,Amen Thompson,added by audit
2023,Ausar Thompson,added by audit
2023,Anthony Black,added by audit
2023,Bilal Coulibaly,added by audit
2023,Jarace Walker,added by audit
2023,Taylor Hendricks,added by audit
2023,Cason Wallace,added by audit
2023,Dereck Lively II,added by audit
2023,Gradey Dick,added by audit
2023,Jaime Jaquez Jr.,added by audit
2023,Brandin Podziemski,added by audit
2023,Cam Whitmore,added by audit
2024,Zaccharie Risacher,added by audit
2024,Alex Sarr,added by audit
2024,Reed Sheppard,added by audit
2024,Stephon Castle,added by audit
2024,Ron Holland,added by audit
2024,Tidjane Salaun,added by audit
2024,Donovan Clingan,added by audit
2024,Rob Dillingham,added by audit
2024,Zach Edey,added by audit
2024,Cody Williams,added by audit
2024,Matas Buzelis,added by audit
2024,Dalton Knecht,added by audit
2024,Jared McCain,added by audit
2024,Kel'el Ware,added by audit
2024,Yves Missi,added by audit
2024,Bronny James,added by audit
2025,Cooper Flagg,added by audit
2025,Dylan Harper,added by audit
2025,VJ Edgecombe,added by audit
2025,Kon Knueppel,added by audit
2025,Ace Bailey,added by audit
2025,Tre Johnson,added by audit
2025,Jeremiah Fears,added by audit
2025,Egor Demin,added by audit
2025,Collin Murray-Boyles,added by audit
2025,Khaman Maluach,added by audit
2025,Cedric Coward,added by audit
2025,Noa Essengue,added by audit
2025,Derik Queen,added by audit
2025,Kasparas Jakucionis,added by audit
2025,Thomas Sorber,added by audit
2026,AJ Dybantsa,added by audit
2026,Darryn Peterson,added by audit
2026,Cameron Boozer,added by audit
2026,Mikel Brown Jr.,added by audit
2026,Nate Ament,added by audit
2026,Caleb Wilson,added by audit
2026,Jayden Quaintance,added by audit
2026,Meleek Thomas,added by audit
2026,Brayden Burries,added by audit
2026,Koa Peat,added by audit
