draft_year,player,result
2001,Kwame Brown,added by audit
2001,Tyson Chandler,added by audit
2001,Pau Gasol,added by audit
2001,Eddy Curry,added by audit
2001,Jason Richardson,added by audit
2001,Shane Battier,added by audit
2001,Joe Johnson,added by audit
2001,Richard Jefferson,added by audit
2001,Zach Randolph,added by audit
2001,Gerald Wallace,added by audit
2001,Tony Parker,added by audit
2001,Gilbert Arenas,added by audit
2002,Yao Ming,added by audit
2002,Jay Williams,added by audit
2002,Mike Dunleavy Jr.,added by audit
2002,Drew Gooden,added by audit
2002,Nene,added by audit
2002,Amar'e Stoudemire,added by audit
2002,Caron Butler,added by audit
2002,Tayshaun Prince,added by audit
2002,Carlos Boozer,added by audit
2002,Matt Barnes,added by audit
2003,LeBron James,added by audit
2003,Darko Milicic,added by audit
2003,Carmelo Anthony,added by audit
2003,Chris Bosh,added by audit
2003,Dwyane Wade,added by audit
2003,Chris Kaman,added by audit
2003,Kirk Hinrich,added by audit
2003,T.J. Ford,added by audit
2003,David West,added by audit
2003,Boris Diaw,added by audit
2003,Leandro Barbosa,added by audit
2003,Josh Howard,added by audit
2003,Kyle Korver,added by audit
2004,Dwight Howard,already present
2004,Emeka Okafor,already present
2004,Ben Gordon,already present
2004,Shaun Livingston,already present
2004,Devin Harris,already present
2004,Luol Deng,already present
2004,Andre Iguodala,already present
2004,Al Jefferson,already present
2004,Jameer Nelson,already present
2004,Tony Allen,already present
2004,Kevin Martin,already present
2004,Trevor Ariza,added by audit
2005,Andrew Bogut,added by audit
2005,Marvin Williams,added by audit
2005,Deron Williams,added by audit
2005,Chris Paul,added by audit
2005,Raymond Felton,added by audit
2005,Martell Webster,added by audit
2005,Charlie Villanueva,added by audit
2005,Channing Frye,added by audit
2005,Andrew Bynum,added by audit
2005,Danny Granger,added by audit
2005,David Lee,added by audit
2005,Monta Ellis,added by audit
2005,Lou Williams,added by audit
2006,Andrea Bargnani,added by audit
2006,LaMarcus Aldridge,added by audit
2006,Adam Morrison,added by audit
2006,Tyrus Thomas,added by audit
2006,Shelden Williams,added by audit
2006,Brandon Roy,added by audit
2006,Rudy Gay,added by audit
2006,J.J. Redick,added by audit
2006,Rajon Rondo,added by audit
2006,Kyle Lowry,added by audit
2006,Paul Millsap,added by audit
2007,Greg Oden,added by audit
2007,Kevin Durant,added by audit
2007,Al Horford,added by audit
2007,Mike Conley,added by audit
2007,Jeff Green,added by audit
2007,Joakim Noah,added by audit
2007,Thaddeus Young,added by audit
2007,Rodney Stuckey,added by audit
2007,Arron Afflalo,added by audit
2007,Marc Gasol,added by audit
2008,Derrick Rose,added by audit
2008,Michael Beasley,added by audit
2008,O.J. Mayo,added by audit
2008,Russell Westbrook,added by audit
2008,Kevin Love,added by audit
2008,Danilo Gallinari,added by audit
2008,Eric Gordon,added by audit
2008,Brook Lopez,added by audit
2008,Roy Hibbert,added by audit
2008,JaVale McGee,added by audit
2008,Ryan Anderson,added by audit
2008,Nicolas Batum,added by audit
2008,George Hill,added by audit
2008,Goran Dragic,added by audit
2008,DeAndre Jordan,added by audit
